0.466000 0.567013   0.284000 0.341667   
0.507000 0.566462   0.331000 0.378761   
0.528000 0.568565   0.354000 0.420346   
0.541000 0.565169   0.400000 0.446314   
0.553000 0.563951   0.496000 0.480724   
0.566000 0.567934   0.582000 0.538969   
0.581000 0.569782   0.580000 0.585343   
0.584000 0.564791   0.574000 0.594845   
0.573000 0.557078   0.570000 0.599857   
0.519000 0.545612   0.555000 0.603268   
0.468000 0.505173   0.539000 0.604432   
0.422000 0.467085   0.525000 0.593335   
0.385000 0.428626   0.514000 0.581701   
0.356000 0.394181   0.524000 0.571292   
0.336000 0.367602   0.540000 0.565505   
0.324000 0.347739   0.556000 0.561602   
0.320000 0.334836   0.570000 0.558274   
0.326000 0.326837   0.584000 0.555871   
0.339000 0.324255   0.599000 0.555611   
0.360000 0.359726   0.593000 0.584171   
0.385000 0.365477   0.572000 0.584058   
0.414000 0.371625   0.569000 0.580238   
0.442000 0.384065   0.576000 0.581958   
0.467000 0.398512   0.589000 0.586820   
0.448000 0.390921   0.593000 0.586497   
0.387000 0.385892   0.571000 0.579896   
0.381000 0.359158   0.582000 0.556023   
0.337000 0.359844   0.568000 0.553104   
0.288000 0.341340   0.551000 0.533197   
0.278000 0.321715   0.530000 0.509229   
0.357000 0.312646   0.513000 0.498647   
0.433000 0.332236   0.497000 0.519296   
0.543000 0.365766   0.493000 0.533519   
0.662000 0.410791   0.492000 0.552505   
0.735000 0.446822   0.488000 0.564575   
0.696000 0.467145   0.491000 0.566655   
0.667000 0.473518   0.499000 0.567662   
0.646000 0.480859   0.509000 0.569131   
0.630000 0.489416   0.519000 0.570988   
