//dist, ballAng, tarAng, coll, obstAng, spin, for0, for1
 96.203, -0.908, -0.196, 199.007, -2.010, -0.061, 0.500, 0.281
 95.019, -0.858, -0.190, 201.466, -1.963, -0.060, 0.508, 0.272
 93.522, -0.808, -0.184, 201.428, -0.966, -0.059, 0.514, 0.263
 91.675, -0.759, -0.179, 199.707, -0.908, -0.058, 0.518, 0.256
 89.501, -0.708, -0.174, 197.631, -0.851, -0.058, 0.520, 0.250
 87.049, -0.658, -0.171, 193.677, 0.160, -0.057, 0.523, 0.244
 84.338, -0.607, -0.167, 189.323, 0.218, -0.057, 0.500, 0.266
 81.380, -0.555, -0.165, 184.877, 0.278, -0.058, 0.483, 0.279
 78.201, -0.504, -0.162, 180.362, 0.337, -0.056, 0.519, 0.244
 74.813, -0.453, -0.161, 175.806, 0.397, -0.055, 0.534, 0.230
 71.221, -0.401, -0.160, 171.217, 0.458, -0.055, 0.533, 0.229
 67.422, -0.348, -0.160, 166.621, 0.521, -0.056, 0.513, 0.252
 63.386, -0.291, -0.163, 162.106, 0.587, -0.057, 0.480, 0.333
 59.116, -0.233, -0.169, 157.704, 0.654, -0.055, 0.463, 0.405
 54.666, -0.176, -0.178, 153.418, 0.719, -0.052, 0.488, 0.488
 50.040, -0.119, -0.189, 149.229, 0.783, -0.048, 0.538, 0.479
 45.220, -0.062, -0.203, 145.109, 0.846, -0.046, 0.543, 0.459
 40.194, -0.002, -0.221, 141.065, 0.911, -0.045, 0.537, 0.433
 34.995, 0.061, -0.244, 137.170, 0.977, -0.044, 0.358, 0.400
 29.743, 0.126, -0.273, 133.488, 1.041, -0.039, 0.209, 0.359
 24.586, 0.190, -0.309, 130.085, 1.099, -0.031, 0.129, 0.308
 20.267, 0.252, -0.350, 125.829, -0.015, -0.024, 0.021, 0.029
 396.029, -0.801, -0.769, 306.622, 3.142, 1.556, 0.750, -0.000
 395.989, -0.799, -0.769, 306.682, -3.139, -0.003, 0.740, 0.750
 395.840, -0.794, -0.769, 306.915, -3.134, -0.005, 0.730, 0.750
 395.544, -0.790, -0.768, 307.392, -3.128, -0.005, 0.729, 0.750
 395.070, -0.785, -0.767, 308.111, -3.123, -0.006, 0.729, 0.750
 394.394, -0.781, -0.765, 309.073, -3.117, -0.006, 0.728, 0.750
 393.538, -0.777, -0.763, 310.278, -3.111, -0.006, 0.728, 0.750
 392.505, -0.774, -0.761, 311.726, -3.106, -0.006, 0.729, 0.750
 391.293, -0.771, -0.758, 313.416, -3.100, -0.006, 0.728, 0.750
 389.899, -0.769, -0.755, 315.348, -3.094, -0.006, 0.728, 0.750
 388.331, -0.766, -0.752, 317.523, -3.089, -0.006, 0.727, 0.750
 386.592, -0.764, -0.748, 319.941, -3.083, -0.006, 0.728, 0.750
 384.684, -0.763, -0.743, 322.601, -3.077, -0.006, 0.728, 0.750
 382.619, -0.762, -0.738, 325.505, -3.071, -0.006, 0.728, 0.750
 380.403, -0.762, -0.733, 328.653, -3.066, -0.006, 0.728, 0.750
 378.017, -0.762, -0.727, 332.043, -3.060, -0.006, 0.728, 0.750
